RIDE_DATE,METRIC_FAMILY,METRIC_NAME,COUNTRY,CITY_BUCKET,RIDES_DENOM,RIDES_FLAGGED,PCT,COMPUTED_AT,AMOUNT_VALUE,AVG_VALUE
2026-08-27,CHANNEL,surge_mismatch,SA,RUH,50042,119,0.24,2026-09-07 09:14:54.546 +0300,,
2026-08-27,CHANNEL,surge_mismatch,SA,Total,123064,273,0.22,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,cap_bound_total__absorption,SA,Total,1,1,-0.55,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,cap_bound_total__gross_shock,SA,Total,4570,1726,37.77,2026-09-07 09:14:54.546 +0300,9671,6
2026-08-27,DISCOUNT,cap_bound_total__net_shock,SA,Total,4570,1736,37.99,2026-09-07 09:14:54.546 +0300,9724,0
2026-08-27,DISCOUNT,cap_bound_total__ride_share,SA,Total,123064,4570,3.71,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,discount_no_source__absorption,SA,Total,1,1,47.94,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,discount_no_source__gross_shock,SA,Total,81,29,35.80,2026-09-07 09:14:54.546 +0300,184,6
2026-08-27,DISCOUNT,discount_no_source__net_shock,SA,Total,81,7,8.64,2026-09-07 09:14:54.546 +0300,96,-7
2026-08-27,DISCOUNT,discount_no_source__ride_share,SA,Total,123064,81,0.07,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,no_discount__absorption,SA,Total,1,1,0.00,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,no_discount__gross_shock,SA,Total,114486,40864,35.69,2026-09-07 09:14:54.546 +0300,198896,5
2026-08-27,DISCOUNT,no_discount__net_shock,SA,Total,114486,40864,35.69,2026-09-07 09:14:54.546 +0300,198896,0
2026-08-27,DISCOUNT,no_discount__ride_share,SA,Total,123064,114486,93.03,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,pct_bound_total__absorption,SA,Total,1,1,12.53,2026-09-07 09:14:54.546 +0300,,
2026-08-27,DISCOUNT,pct_bound_total__gross_shock,SA,Total,3927,1312,33.41,2026-09-07 09:14:54.546 +0300,5707,4
2026-08-27,DISCOUNT,pct_bound_total__net_shock,SA,Total,3927,1309,33.33,2026-09-07 09:14:54.546 +0300,4991,0
