RIDEID,CREATED,UPFRONTSCENARIO,DROPOFFATDESTINATION,FINALRIDEFARE,RECALCULATEDDISTANCE,RECALCULATEDTIME,RECALCULATEDFARE,UPFRONTENABLED,APPLIEDESTIMATETIME,APPLIEDESTIMATEDISTANCE,APPLIEDESTIMATEFARE,TAXIMETERTIME,TAXIMETERDISTANCE,TAXIMETERFARE,ORIGINALESTIMATETIME,ORIGINALESTIMATEDISTANCE,ORIGINALESTIMATEFARE,CHARGINGDISTANCESOURCE,CHARGINGDISTANCE,CHARGINGTIMESOURCE,CHARGINGTIME,ADDITIONALTIMECOMP,TAXIMETERFORMULA,TAXIMETERCASE,CHARGINGFARE,ADDITIONALTIMEVALUE,TAXIMETERSTATE,FACTORFORADDITIONALTIME,SPEEDPARAMETERX,MAXSPEED,ESTIMATEDSPEED,ACTUALSPEED,ACTUALTIME,SCALEDDISTANCE,TIMETHRESHHOLDSALOWPERCENTAGE,TIMETHRESHHOLDSAHIGHPERCENTAGE,TIMETHRESHHOLDSALOWVALUE,TIMETHRESHHOLDSAHIGHVALUE,TIMETHRESHHOLDSBLOWPERCENTAGE,TIMETHRESHHOLDSBHIGHPERCENTAGE,TIMETHRESHHOLDSBLOWVALUE,TIMETHRESHHOLDSBHIGHVALUE,KALMANDISTANCE,APPLIEDFIXEDTIMETHRESHOLDAPPLIED,APPLIEDFIXEDTIMETHRESHOLDVALUE,FIXEDSPEEDCAP,MAXWITHINMINUTESVARIANCE
6a4b7304c5d6742eb798f57c,2026-07-06 12:19:00.351,withinA,true,8.94,1.606,4.066666667,8.94,True,4.066667,1.606,8.94,3.366666667,1.56994,9.92,4.066666667,1.606,8.94,applied_estimate,1.606,applied_estimate,4.066666667,0,"max(8.63,(1.1431*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,8.94,0,withinA,0.675,30,120,23.6952,27.97919,3.366666667,0.00,100,22,0,297,0,999999,244,2440241,0,FALSE,0,41,3
6a4e563a326d320dd9cdfc97,2026-07-08 16:52:57.888,withinB,true,43.19,22.199568611,37.483333333,43.19,True,37.483333,18.909,30.23,51.716666667,22.19957,40.55,37.483333333,18.909,30.23,taximeter_distance,22.199568611,applied_estimate,37.483333333,14.23,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",speed_in_limit,43.19,9.61,withinB,0.675,30,120,30.2676,25.75522,51.716666667,0.00,100,22,0,2743,0,999999,2249,22492226,0,FALSE,0,41,3
6a4e5234b965025546f5f631,2026-07-08 16:35:48.203,withinA,true,8.94,2.116,6.65,8.94,True,6.65,2.116,8.94,6.266666667,1.52768,9.92,6.65,2.116,8.94,applied_estimate,2.116,applied_estimate,6.65,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,8.94,0,withinA,0.675,30,120,19.092,14.62674,6.266666667,0.00,100,22,0,486,0,999999,399,3990395,0,FALSE,0,41,3
6a4fa533c737923ca9523628,2026-07-09 16:42:11.122,withinB,true,29.96,16.772,22.433333333,29.96,True,22.433333,16.772,24.83,29.766666667,15.41646,28.07,22.433333333,16.772,24.83,applied_estimate,16.772,applied_estimate,22.433333333,7.33,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",ad_less_ed,29.96,4.95,withinB,0.675,30,120,44.8584,31.07461,29.766666667,0.00,100,22,0,1642,0,999999,1346,13461332,0,FALSE,0,41,3
6a5169bcaba5ca1961df04ce,2026-07-11 00:53:00.263,withinA,true,43.33,41.479,33.15,43.33,True,33.15,41.479,43.33,33.15,41.23037,47.92,33.15,41.479,43.33,applied_estimate,41.479,applied_estimate,33.15,0,"max(7.07,(1.031*(0.23*durationInMinute+0.82*distanceInKm+3.48)))",applied_estimate,43.33,0,withinA,0.675,30,120,75.075,74.6251,33.15,0.00,100,25,0,2486,0,999999,1989,19891969,0,FALSE,0,47,3
6a4fa836c737923ca95700a3,2026-07-09 16:55:02.928,withinA,true,7.21,16.986,35.016666667,7.21,True,35.016667,16.986,7.21,39.733333333,17.65227,8.29,35.016666667,16.986,7.21,applied_estimate,16.986,applied_estimate,35.016666667,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,7.21,0,withinA,0.071,30,120,29.1048,26.65611,39.733333333,0.00,100,22,0,2563,0,999999,2101,21012079,0,FALSE,0,30,3
6a4f775dc737923ca91ec16f,2026-07-09 13:26:37.935,withinB,true,3,6.6412046,17.383333333,3,True,17.383333,6.074,2.17,27.85,6.6412,2.59,17.383333333,6.074,2.17,taximeter_distance,6.6412046,applied_estimate,17.383333333,10.47,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",speed_in_limit,3,0.74,withinB,0.071,30,120,20.9652,14.3078,27.85,0.00,100,22,0,1272,0,999999,1043,10431032,0,FALSE,0,30,3
6a4f9088c737923ca9380b22,2026-07-09 15:14:00.310,withinA,true,19.46,12.708,15.266666667,19.46,True,15.266667,12.708,19.46,13.633333333,12.5768,20.92,15.266666667,12.708,19.46,applied_estimate,12.708,applied_estimate,15.266666667,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,19.46,0,withinA,0.675,30,120,49.944,55.35022,13.633333333,0.00,100,22,0,1117,0,999999,916,9160906,0,FALSE,0,41,3
6a4fbddcc737923ca9787a2c,2026-07-09 18:27:24.168,withinA,true,16.54,9.295,16.133333333,16.54,True,16.133333,9.295,16.54,16.333333333,8.59046,17.62,16.133333333,9.295,16.54,applied_estimate,9.295,applied_estimate,16.133333333,0,"max(8.63,(1.0534*(0.21*durationInMinute+0.84*distanceInKm+3.97)))",applied_estimate,16.54,0,withinA,0.675,30,120,34.5684,31.55678,16.333333333,0.00,100,22,0,1180,0,999999,968,9680958,0,FALSE,0,41,3
6a4fb23eb0e119efe86f16fa,2026-07-09 17:37:50.483,withinA,true,3.03,9.065,26.2,3.03,True,26.2,9.065,3.03,24.9,8.8188,3.29,26.2,9.065,3.03,applied_estimate,9.065,applied_estimate,26.2,0,"max(1.5,0.96*(0.468+(0*durationInMinute)+(0.336*distanceInKm)))",applied_estimate,3.03,0,withinA,0.071,30,120,20.7594,21.25012,24.9,0.00,100,22,0,1917,0,999999,1572,15721556,0,FALSE,0,30,3
