PASSENGERID,AREA_CODE,SERVICETYPE,NEIGHBOURHOODID,ACTUALDATETIME,PREVIOUSDATE,DATEDIFFERENCE,PRICECHECKFLAG,PICKUPLAT,PICKUPLONG,DESTLAT,DESTLONG,PICKUPGEOHASH,DESTGEOHASH,UNIQUEID,SERVICEFILTER,MINIMUMFARE,MAXIMUMFARE,VAT,VALUE,DISCOUNT,SURGEMULTIPLIER,SURCHARGE,RN,DISTANCE,DURATION,TRACEID,CUSTOMERSEGMENT,DISCRIMINATIONMULTIPLIER,ACTUALDISCRIMINATIONMULTIPLIER,PRICEDISCRIMINATIONENABLED,USERMETPDCRITERIA,ACTUALDATE,BASEFARE,FACTORDRIVER,DRIVERPRICE,PAYOUTENABLEDDRIVER,ADJUSTFAREDIFFERENCEDRIVER,PRICECHECKSUNIQUEID,RIDEID,PD_GROUP,REQUESTED,ACCEPTED,BOARDED,RANDOMISATION_BASESURGE,RANDOMISATION_BUCKETID,RANDOMISATION_FINALSURGE,RANDOMISATION_ISRANDOMISED,RANDOMISATION_RANDOMOFFSET,ISELIGIBLECASHRIDE,PASSENGERWALLETBALANCE,PICKUPAREACODE,DESTAREACODE
6a50f6b3619cc927f105ec7e,RUH,smart,6891b651008d57c7b830139f,2026-07-10 17:06:47.766,2026-07-10 17:06:47.766,0,0,24.882884,46.641171,24.889062,46.620188,th3jt3,th3jsf,20260710170647766,ecolite,8.94,8.94,0.58,8.94,,0.9,0,10,3.609,6.683333333,5E742BE8-A737-442D-BF18-2E79DB7B599D,Group A,0.90,0.90,TRUE,TRUE,2026-07-10,8.85,,,TRUE,TRUE,5E742BE8-A737-442D-BF18-2E79DB7B599D1783703207766,6a50fc7bc737923ca92e85e4,A,2026-07-10 17:06:51.666,2026-07-10 17:07:04.165,2026-07-10 17:22:20.732,0.9,,0.9,FALSE,0,TRUE,-8,RUH,RUH
6a5b8ad97693d51da803046f,HOF,jeenyeco,DEFAULT_NEIGHBOURHOOD_HOF,2026-07-18 17:19:19.472,2026-07-18 17:19:19.472,0,0,25.348351,49.55984,25.310288,49.527864,the0py,th7pzp,20260718171919472,jeenyeco,13.73,13.73,0.58,13.73,,1,0,11,11.929,16.4,22514C28-835B-41A6-9A83-472857A4BF98,Group A,0.80,0.80,TRUE,TRUE,2026-07-18,14.93,,,TRUE,TRUE,22514C28-835B-41A6-9A83-472857A4BF981784395159472,6a5b8b73086b15be44f26902,A,2026-07-18 17:19:31.096,2026-07-18 17:19:37.129,2026-07-18 17:28:12.072,1,,1,FALSE,0,TRUE,0,HOF,HOF
6a47a71159cfec7f310d2a33,IRB,economy,6889fafda23918f088373faa,2026-07-03 16:44:20.581,2026-07-03 16:44:20.581,0,1,32.516645,35.851402,32.469152,35.795022,svc2zz,svc2ww,20260703164420581,UltraEconomy,2.55,7.05,0,2.55,,1,0,2,9.238,16.416666667,c9e4c1ed-a141-4fa7-94b5-ee38c455d209,Group A,0.90,0.90,TRUE,TRUE,2026-07-03,2.83,,,TRUE,TRUE,c9e4c1ed-a141-4fa7-94b5-ee38c455d2091783097060581,6a47bcd77ae76b85a3fcd882,A,2026-07-03 16:44:55.037,2026-07-03 16:44:57.367,2026-07-03 16:50:00.727,1,,1,FALSE,0,TRUE,0,IRB,IRB
6a47dfa3abcbc06fcd05c6cc,IRB,economy,6889fafda23918f088373faa,2026-07-03 19:19:29.319,2026-07-03 19:19:29.319,0,1,32.52865,35.839515,32.537701,35.852009,svc3p9,svc3pg,20260703191929319,UltraEconomy,1.13,5.63,0,1.13,,1,0,2,2.401,6.983333333,69befbb7-ac9e-43b8-b4fd-916d388411fa,Group A,0.90,0.90,TRUE,TRUE,2026-07-03,1.25,,,TRUE,TRUE,69befbb7-ac9e-43b8-b4fd-916d388411fa1783106369319,6a47e1287ae76b85a31ebce1,A,2026-07-03 19:19:52.436,2026-07-03 19:19:56.073,2026-07-03 19:25:27.835,1,,1,FALSE,0,TRUE,0,IRB,IRB
6a48347cafdc6ce3ba038e99,IRB,economy,6889fafe0593d40c7a487f6f,2026-07-04 01:18:57.798,2026-07-04 01:18:57.798,0,0,32.53682,35.869928,32.56101,36.006741,svc905,svc95r,20260704011857798,UltraEconomy,3.74,8.24,0,3.74,,1,0,1,14.514,24.983333333,8434EB2A-703E-4E30-873A-E01405140468,Group A,0.90,0.90,TRUE,TRUE,2026-07-04,4.16,,,TRUE,TRUE,8434EB2A-703E-4E30-873A-E014051404681783127937798,6a4835627ae76b85a3794328,A,2026-07-04 01:19:14.525,2026-07-04 01:19:15.671,2026-07-04 01:28:14.408,1,,1,FALSE,0,TRUE,0,IRB,IRB
6a36882e0e5650e403041e4d,IRB,economy,6889fafde2e10a3e92387dc6,2026-07-06 09:04:02.453,2026-07-06 09:04:02.453,0,0,32.555437,35.97797,32.552626,36.009546,svc94w,svc95q,20260706090402453,UltraEconomy,1.42,5.92,0,1.42,,1,0,1,3.79,8.733333333,7E65755F-E1E0-44D2-9FCC-389B0A754C5F,Group A,0.90,0.90,TRUE,TRUE,2026-07-06,1.58,,,TRUE,TRUE,7E65755F-E1E0-44D2-9FCC-389B0A754C5F1783328642453,6a4b455fc5d6742eb773d99f,A,2026-07-06 09:04:15.065,2026-07-06 09:04:18.135,2026-07-06 09:16:03.853,1,,1,FALSE,0,TRUE,1,IRB,IRB
6a49865774378379b1064fcb,RUH,smart,6891b650464f40084c6496ee,2026-07-05 15:59:19.276,2026-07-05 15:59:19.276,0,0,24.672001,46.676639,24.752315,46.679837,th3hq5,th3hy4,20260705155919276,ecolite,23.86,23.86,0.58,23.86,,1,0,10,15.666,22.65,444CC37A-C4C2-437A-87D8-E1E181C692DD,Group A,0.90,0.90,TRUE,TRUE,2026-07-05,23.05,,,TRUE,TRUE,444CC37A-C4C2-437A-87D8-E1E181C692DD1783267159276,6a4a55317ef6256af718be0d,A,2026-07-05 15:59:29.413,2026-07-05 15:59:34.219,2026-07-05 16:17:42.595,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4a5f9acb53e56e2d0306df,RUH,smart,6891b650464f40084c6496ee,2026-07-05 16:45:33.810,2026-07-05 16:45:33.810,0,0,24.617345,46.697572,24.751608,46.823737,th3hn9,th3kc9,20260705164533810,ecolite,52.08,52.08,0.58,52.08,,1,0,10,39.924,48.883333333,12DC5661-AE40-428B-9AA9-FCE48FD98941,Group A,0.90,0.90,TRUE,TRUE,2026-07-05,50.32,,,TRUE,TRUE,12DC5661-AE40-428B-9AA9-FCE48FD989411783269933810,6a4a60037ef6256af727aacf,A,2026-07-05 16:45:39.276,2026-07-05 16:45:43.453,2026-07-05 16:52:46.734,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4a604a0122c8ed4708bdf3,RUH,smart,6891b650a2084e6905526bd7,2026-07-05 16:48:11.615,1899-12-31 23:59:08.000,66537835,1,24.576048,46.792089,24.5710244,46.7086119,th37bc,th35yc,20260705164811615,ecolite,23.77,23.77,0.58,23.77,,1,0,1,15.852,21.516666667,835135be-6fd3-47de-9085-2d0f3bcb877d,Group A,0.90,0.90,TRUE,TRUE,2026-07-05,22.97,,,TRUE,TRUE,835135be-6fd3-47de-9085-2d0f3bcb877d1783270091615,6a4a61c2c5a77f251a5f1a09,A,2026-07-05 16:53:06.953,2026-07-05 16:53:08.801,2026-07-05 17:01:50.987,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a3d76e2d321f805990dfb90,RUH,smart,6891b6515cbf304401265966,2026-07-05 18:16:24.484,2026-07-05 18:16:24.484,0,1,24.5629436,46.5338151,24.587755,46.603525,th35dz,th35uk,20260705181624484,ecolite,25.48,25.48,0.58,25.48,,1,0,10,18.754,17.383333333,11b0b546-368e-4c22-8f6a-133c5f50bdd3,Group A,0.90,0.90,TRUE,TRUE,2026-07-05,24.62,,,TRUE,TRUE,11b0b546-368e-4c22-8f6a-133c5f50bdd31783275384484,6a4a75e1c5a77f251a7d65a5,A,2026-07-05 18:18:57.026,2026-07-05 18:19:01.046,2026-07-05 18:26:53.008,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4accde45bad2f8e5059093,RUH,smart,6891b6512b984bc8151bac3a,2026-07-07 00:24:07.414,2026-07-07 00:24:07.414,0,0,24.567875,46.763355,24.563244,46.717696,th37b0,th35xp,20260707002407414,ecolite,13.49,13.49,0.58,13.49,,1,0,10,7.892,11.95,47728769-5D96-43A9-B7F0-2A2AA820E47C,Group A,0.90,0.90,TRUE,TRUE,2026-07-07,13.03,,,TRUE,TRUE,47728769-5D96-43A9-B7F0-2A2AA820E47C1783383847414,6a4c1d18c5d6742eb74f87bc,A,2026-07-07 00:24:40.227,2026-07-07 00:24:48.424,2026-07-07 00:33:18.151,1,,1,FALSE,0,TRUE,0,RUH,RUH
6a4c81a137b06c00b200badc,RUH,smart,6891b65132cc9ec573100d04,2026-07-07 07:41:15.723,2026-07-07 07:40:32.941,1,0,24.828767,46.737049,24.680947,46.689278,th3jpx,th3hqm,20260707074115723,ecolite,43.07,43.07,0.58,43.07,,1,0,10,30.7,31.633333333,6453EB35-B691-43DD-809F-8DD685565543,Group A,0.90,0.90,TRUE,TRUE,2026-07-07,41.61,,,TRUE,TRUE,6453EB35-B691-43DD-809F-8DD6855655431783410075723,6a4c839dc5d6742eb76748fe,A,2026-07-07 07:42:05.389,2026-07-07 07:42:09.886,2026-07-07 07:53:40.542,1,,1,FALSE,0,TRUE,0,RUH,RUH
